  iter  continuity  x-velocity  y-velocity           k     epsilon     time/iter
     1  1.0000e+00  3.6584e-02  3.9163e-02  1.2525e-01  1.3504e+00  0:00:00  499
     2  9.2343e-01  2.3412e-02  1.9675e-02  7.1581e-02  1.3693e-01  0:00:00  498
     3  1.0000e+00  2.2838e-02  1.2852e-02  4.8177e-02  8.5850e-02  0:08:17  497
     4  1.0000e+00  2.4293e-02  9.8263e-03  2.5902e-02  3.7526e-02  0:06:37  496
     5  1.0000e+00  2.3719e-02  8.1470e-03  2.0292e-02  3.7342e-02  0:05:17  495
     6  1.0118e+00  2.2708e-02  7.0654e-03  1.5830e-02  3.2402e-02  0:04:13  494
     7  1.0056e+00  2.1126e-02  6.0963e-03  1.3237e-02  2.9098e-02  0:03:22  493
     8  9.4846e-01  1.9095e-02  5.3380e-03  1.1597e-02  2.5028e-02  0:02:41  492
     9  8.5235e-01  1.6830e-02  4.8811e-03  1.0531e-02  2.1128e-02  0:02:09  491
    10  7.8091e-01  1.4485e-02  4.4330e-03  1.0095e-02  2.0381e-02  0:01:43  490
    11  7.2151e-01  1.2372e-02  4.2219e-03  1.0049e-02  1.8038e-02  0:01:22  489

  iter  continuity  x-velocity  y-velocity           k     epsilon     time/iter
    12  6.5829e-01  1.0459e-02  3.9588e-03  9.5092e-03  1.8957e-02  0:02:43  488
    13  6.0942e-01  8.9545e-03  3.6748e-03  8.4313e-03  1.6494e-02  0:02:10  487
    14  5.4412e-01  7.6851e-03  3.1761e-03  7.9284e-03  1.6897e-02  0:01:44  486
    15  4.7020e-01  6.5827e-03  2.8888e-03  6.7714e-03  1.4881e-02  0:01:23  485
    16  4.2677e-01  5.6698e-03  2.5082e-03  5.6615e-03  1.1817e-02  0:01:06  484
    17  3.8757e-01  4.9476e-03  2.2095e-03  4.7553e-03  9.6904e-03  0:00:53  483
    18  3.3858e-01  4.2485e-03  1.8902e-03  3.8602e-03  7.5669e-03  0:00:42  482
    19  2.9835e-01  3.6268e-03  1.5989e-03  3.1032e-03  6.1459e-03  0:02:10  481
    20  2.5788e-01  3.1198e-03  1.3459e-03  2.5054e-03  5.4854e-03  0:01:44  480
    21  2.1696e-01  2.7209e-03  1.1293e-03  2.0111e-03  4.5721e-03  0:01:23  479
    22  1.8210e-01  2.4227e-03  9.4806e-04  1.6495e-03  3.5938e-03  0:01:06  478

